year,region,exposure.code,coastal.code,latitude,longitude,depth,crust,understory,kelp,urchin,month,day,survey,site
2001,Casco Bay,2,2,43.72766,-70.10721,5,6.1,38.5,92.5,0,6,15,dmr,66
2001,Casco Bay,2,2,43.76509,-69.96087,5,31.5,74,59,0,6,15,dmr,71
2001,Casco Bay,3,3,43.75199,-69.9342,5,31.5,96.5,7.7,0,6,15,dmr,70
2001,Casco Bay,2,2,43.78369,-69.89041,5,40.5,60,52.5,0,6,8,dmr,23
2001,Casco Bay,2,2,43.79288,-69.88675,5,53,59.5,29.2,0,6,8,dmr,22
2001,Casco Bay,1,2,43.79686,-69.88665,5,26.5,15,100,0,6,8,dmr,21
2001,Casco Bay,2,2,43.75221,-69.86678,5,70.5,100,0.8,0.5,6,8,dmr,25
2002,Casco Bay,3,3,43.590952,-70.198551,5,87,47,87.5,0,5,15,dmr,8
2002,Casco Bay,3,3,43.690687,-70.145069,5,66,96.5,13,0,5,16,dmr,17
2002,Casco Bay,5,5,43.651501,-70.043663,5,99.5,18,86.5,0,5,16,dmr,14
2002,Casco Bay,4,4,43.714928,-70.012772,5,81.5,7.9,96.5,0,5,16,dmr,15
2002,Casco Bay,2,2,43.769901,-69.941452,5,48.5,75.5,65,0,6,17,dmr,21
2002,Casco Bay,2,4,43.728296,-69.928207,5,97.5,90,5,0,6,17,dmr,22
2002,Casco Bay,5,4,43.7071,-69.890522,5,99,43.5,0,0,6,17,dmr,25
2002,Casco Bay,2,2,43.79265,-69.886597,5,66.5,19,100,0,6,17,dmr,23
2003,Casco Bay,5,4,43.64601,-70.11919,5,12,89.5,64,0,5,15,dmr,13
2003,Casco Bay,5,4,43.67342,-70.08861,5,60.5,53,81,0,5,15,dmr,15
2003,Casco Bay,2,2,43.77983,-70.07435,5,27,22,100,0,5,15,dmr,18
2003,Casco Bay,5,4,43.71057,-70.002440000000007,5,82.5,81,56,0,5,16,dmr,22
2003,Casco Bay,3,3,43.73849,-69.92849,5,100,71,19.5,0,5,16,dmr,23
2003,Casco Bay,3,3,43.72968,-69.87191,5,72.5,82.5,31.5,2.2,5,16,dmr,25
2004,Casco Bay,5,5,43.6552,-70.1086,5,8.5,53.5,55,0,5,11,dmr,16
2004,Casco Bay,3,4,43.7067,-70.0392,5,28,27.5,80.5,0,5,11,dmr,20
2004,Casco Bay,3,3,43.7518,-69.9475,5,18,75.5,68.5,0,5,12,dmr,22
2004,Casco Bay,5,4,43.7158,-69.9469,5,20.5,56,43,0,5,11,dmr,18
2004,Casco Bay,2,2,43.7565,-69.9293,5,22,86,50,0,5,12,dmr,23
2004,Casco Bay,3,3,43.7476,-69.8917,5,17,98.5,9.5,0,5,12,dmr,24
2005,Casco Bay,4,4,43.6317,-70.181,5,23.5,76,30,0,5,13,dmr,10
2005,Casco Bay,5,4,43.5555,-70.155,5,74.5,34.5,49,0,5,13,dmr,9
2005,Casco Bay,2,3,43.7029,-70.1238,5,19,58,79.5,0,5,13,dmr,12
2005,Casco Bay,4,4,43.6961,-70.0768,5,27,70,44.5,0,5,13,dmr,14
2005,Casco Bay,3,4,43.7102,-70.0336,5,29,77,46.5,0,5,13,dmr,15
2005,Casco Bay,3,2,43.7475,-69.9286,5,27,63.5,24,0,5,17,dmr,17
2005,Casco Bay,3,2,43.7566,-69.91,5,14.5,29,50.5,0.1,5,17,dmr,16
2005,Casco Bay,4,3,43.6988,-69.8349,5,74,73,30.5,0,5,17,dmr,19
2006,Casco Bay,4,3,43.5547,-70.2165,5,44,69.5,42,0,5,9,dmr,6
2006,Casco Bay,4,3,43.636,-70.1994,5,18.5,58,49.5,0,5,9,dmr,7
2006,Casco Bay,4,4,43.6915,-70.0828,5,59.5,74.5,51,0,5,10,dmr,10
2006,Casco Bay,3,4,43.719,-70.0462,5,27.5,68.5,39,0,5,10,dmr,13
2006,Casco Bay,2,2,43.7821,-70.0411,5,3,16.5,0.5,2.7,5,10,dmr,11
2006,Casco Bay,5,5,43.6878,-70.0207,5,32.5,65,71,0,5,10,dmr,9
2006,Casco Bay,4,4,43.7192,-70.0087,5,35,82,11,0,5,10,dmr,14
2006,Casco Bay,5,4,43.7159,-69.9402,5,61.5,73,33.5,0.5,5,12,dmr,15
2006,Casco Bay,3,3,43.7565,-69.9355,5,29,58.5,75,0,5,12,dmr,16
2006,Casco Bay,2,2,43.7602,-69.9013,5,45,57,82.5,0,5,12,dmr,17
2007,Casco Bay,4,3,43.6179,-70.2068,5,6,9,0.5,0,5,7,dmr,9
2007,Casco Bay,2,2,43.7311,-70.0832,5,21,69.5,35,0,5,8,dmr,11
2007,Casco Bay,4,3,43.7242,-69.9901,5,61.5,53,8.5,0,5,8,dmr,13
2007,Casco Bay,3,3,43.7484,-69.9626,5,29.5,59.5,55.5,0.2,5,8,dmr,14
2007,Casco Bay,3,3,43.7384,-69.9405,5,21,61,26,0,5,8,dmr,15
2007,Casco Bay,2,2,43.7656,-69.9097,5,21.5,42,87,0.3,5,8,dmr,16
2007,Casco Bay,2,2,43.7472,-69.8702,5,16,72.5,32.5,0,5,8,dmr,17
2008,Casco Bay,4,4,43.65428,-70.17568,5,72,82,5,0,5,6,dmr,10
2008,Casco Bay,2,2,43.755,-70.04738,5,11,46.5,16.5,0,5,6,dmr,13
2008,Casco Bay,1,2,43.72797,-70.00078,5,19.5,40.5,100,0,5,6,dmr,14
2008,Casco Bay,4,4,43.71523,-69.98998,5,89.5,75.5,22,0,5,6,dmr,15
2008,Casco Bay,2,2,43.77173,-69.91194,5,72.5,63.5,97,0,5,6,dmr,16
2008,Casco Bay,4,4,43.72062,-69.8856,5,28,42.5,39,0,5,6,dmr,18
2009,Casco Bay,3,3,43.62679,-70.21171,5,56,90,1.5,0,5,4,dmr,9
2009,Casco Bay,2,3,43.70124,-70.10358,5,30.5,58.5,71,0,5,5,dmr,11
2009,Casco Bay,4,3,43.70073,-70.06479,5,60,90,10.5,0,5,5,dmr,13
2009,Casco Bay,3,3,43.73347,-69.97396,5,42,84.5,63,0,5,5,dmr,14
2009,Casco Bay,2,2,43.76074,-69.95305,5,34.5,74,73.5,0,5,5,dmr,15
2009,Casco Bay,2,2,43.78249,-69.9273,5,28.5,62.5,70.5,0,5,5,dmr,16
2009,Casco Bay,2,2,43.77038,-69.89768,5,52,68.5,67.5,0,5,5,dmr,17
2010,Casco Bay,4,3,43.554865,-70.204014,5,68.5,58.5,17.5,0,5,5,dmr,7
2010,Casco Bay,4,4,43.687002,-70.082733,5,51.5,81.5,7.5,0,5,7,dmr,19
2010,Casco Bay,3,3,43.714397,-70.052452,5,31.5,77.5,7,0,5,7,dmr,20
2010,Casco Bay,2,2,43.797209,-70.015423,5,18,42,0,0,5,7,dmr,22
2010,Casco Bay,2,2,43.733101,-70.000098,5,20,51,69.5,0,5,7,dmr,23
2010,Casco Bay,4,4,43.729153,-69.958694,5,19.5,50,13.5,0,5,7,dmr,24
2010,Casco Bay,3,2,43.752155,-69.880035,5,9,15.5,2,0.2,5,7,dmr,26
2010,Casco Bay,2,2,43.765682,-69.876472,5,27,63.5,41.5,0,5,7,dmr,25
2011,Casco Bay,2,2,43.64062,-70.18728,5,34.5,73.5,7.5,0,5,12,dmr,31
2011,Casco Bay,2,2,43.69471,-70.18224,5,33,38,74.5,0,5,12,dmr,30
2011,Casco Bay,2,1,43.75418,-70.03941,5,13,34.5,62.5,0,5,12,dmr,28
2011,Casco Bay,1,1,43.77385,-69.98362,5,13.5,23.5,76.5,0,5,12,dmr,27
2011,Casco Bay,2,2,43.76538,-69.9427,5,42,57.5,74.5,0,5,12,dmr,25
2011,Casco Bay,4,3,43.72486,-69.94028,5,83.5,75.5,4.5,0,5,12,dmr,26
2011,Casco Bay,1,2,43.78818,-69.87582,5,21.5,37.5,71,0,5,12,dmr,24
2011,Casco Bay,4,3,43.70235,-69.85163,5,90,35,9.5,0,5,12,dmr,22
2012,Casco Bay,4,3,43.70278,-69.8328,5,58,70.5,0.5,0,5,2,dmr,9
2014,Casco Bay,2,3,43.6858,-70.1722,5,0,12,46.5,0,5,5,dmr,7
2014,Casco Bay,2,2,43.7089,-70.1247,5,57,57,41.5,0,5,6,dmr,9
2014,Casco Bay,2,3,43.6827,-70.0969,5,55,45.5,55,0.2,5,6,dmr,8
2014,Casco Bay,1,2,43.7865,-70.0485,5,15.5,45,11,0,5,6,dmr,11
2014,Casco Bay,2,2,43.7651,-69.9514,5,35.5,55,63.5,0,5,6,dmr,13
2014,Casco Bay,2,2,43.7339,-69.9404,5,64,65.5,14.5,0,5,6,dmr,12
2014,Casco Bay,2,2,43.7746,-69.9043,5,29,73.5,25.5,0,5,6,dmr,14
2014,Casco Bay,1,2,43.7381,-69.8664,5,23,80,31,0,5,6,dmr,16
